1,,
,James,A
,Hunter,D A
2,,
,Nicola,D
,Jonathan,E
,Smith,E
,Connor,A
3,,
,James,
,Hunter,
,Mark,F#
4,,
,James,B
,Jonathan,
,Hunter,A B
5,,
,Andreas,A
,Mark,
,Jonathan,B
,Connor,
6,Smith,
7,,
,James,
,Jonathan,
,Mark,F#
8,,
,Andreas,
,Connor,E
9,,
,Jonathan,A
,Smith,G
,Mark,
10,Hunter,
11,,
,Smith,
,Mark,D
12,,
,Jonathan,
,Hunter,G
,Connor,
13,,
,James,B
,Andreas,D G B
,Smith,D G B
,Mark,
14,Mark,A
15,,
,James,
,Andreas,
,Smith,
,Connor,D A
16,,
,James,D
,Andreas,D F G A
,Mark,
17,,
,Hunter,
,Mark,C G
18,,
,James,
,Andreas,
,Jonathan,C D A
19,,
,Andreas,F
,Smith,D
,Connor,
20,,
,James,C
,Nicola,
,Connor,C F
,Hunter,C D
,Mark,
21,Smith,
22,Nicola,G
23,,
,Andreas,
,Connor,
24,,
,James,
,Nicola,
,Jonathan,
,Smith,A
25,Nicola,F
26,,
,Mark,F A
,James,A
,Andreas,F A
,Hunter,
,Connor,F A
27,,
,Hunter,C
,Nicola,
,Jonathan,A
,Smith,
28,,
,Nicola,D
,Mark,
29,Hunter,
30,,
,Jonathan,
,Smith,G
31,,
,James,
,Nicola,
,Andreas,
,Hunter,C D
32,,
,Jonathan,C D G
,Smith,
,Connor,
33,James,A#
34,Hunter,
35,James,
36,Jonathan,
37,Andreas,D# A#
38,,
,James,G
,Hunter,D#
39,Andreas,
40,,
,Andreas,C#
,Connor,A#
41,,
,Smith,C# D# F A#
,Hunter,
42,Hunter,G A#
43,,
,James,
,Nicola,D#
,Smith,
,Connor,
44,,
,Andreas,
,Mark,G A#
45,Hunter,
46,,
,Jonathan,C
,Smith,F
47,,
,Nicola,
,Mark,
48,,
,Hunter,G
,Smith,
49,,
,Nicola,C D#
,Smith,C D# G
50,,
,Hunter,
,Mark,C A#
51,,
,Nicola,
,Andreas,F
,Hunter,F
52,,
,James,A#
,Nicola,F
,Connor,G
53,,
,Smith,
,Jonathan,
,Hunter,
54,,
,Jonathan,D#
,Smith,D#
55,,
,Nicola,
,Mark,
56,,
,Mark,D#
,Smith,
,Connor,
57,,
,Jonathan,
,Smith,G
58,,
,Nicola,C
,Hunter,G
59,,
,Andreas,
,Smith,
60,,
,Jonathan,C
,Mark,
61,,
,Mark,C G
,James,
,Andreas,C F G
,Smith,C G
,Connor,C F G
62,,
,James,A
,Nicola,
,Hunter,
63,,
,Jonathan,
,Connor,
64,,
,Nicola,D#
,Connor,G
65,,
,James,
,Andreas,
,Smith,
,Mark,
66,,
,Nicola,
,Connor,
